M,N,Misprediction Rate
7,2,28.98
7,4,30.76
7,6,33.22
8,2,25.18
8,4,26.57
8,6,27.82
8,8,30.56
9,2,20.25
9,4,22.43
9,6,24.14
9,8,26.08
10,2,16.39
10,4,17.99
10,6,19.36
10,8,21.1
10,10,22.77
11,2,13.71
11,4,14.49
11,6,15.14
11,8,16.47
11,10,18.34
12,2,12.2
12,4,12.23
12,6,12.46
12,8,13.0
12,10,14.33
12,12,15.4
13,2,11.11
13,4,10.57
13,6,10.59
13,8,11.0
13,10,11.68
13,12,12.68
14,2,10.42
14,4,9.69
14,6,9.08
14,8,9.34
14,10,9.83
14,12,10.48
14,14,11.13
15,2,10.13
15,4,9.13
15,6,8.3
15,8,8.22
15,10,8.46
15,12,9.01
15,14,9.48
16,2,9.93
16,4,8.77
16,6,7.89
16,8,7.57
16,10,7.61
16,12,7.86
16,14,8.34
16,16,8.75
