M,N,Misprediction Rate
7,2,8.08
7,4,8.92
7,6,9.74
8,2,7.79
8,4,7.88
8,6,8.87
8,8,9.2
9,2,7.58
9,4,7.68
9,6,8.13
9,8,8.3
10,2,7.49
10,4,7.38
10,6,7.58
10,8,7.45
10,10,7.95
11,2,7.45
11,4,7.27
11,6,7.38
11,8,7.17
11,10,7.44
12,2,7.44
12,4,7.26
12,6,7.19
12,8,6.84
12,10,7.18
12,12,7.35
13,2,7.33
13,4,7.24
13,6,7.16
13,8,6.83
13,10,7.02
13,12,7.17
14,2,7.32
14,4,7.17
14,6,7.14
14,8,6.69
14,10,6.84
14,12,6.84
14,14,6.93
15,2,7.31
15,4,7.13
15,6,7.09
15,8,6.69
15,10,6.72
15,12,6.7
15,14,6.67
16,2,7.31
16,4,7.13
16,6,7.08
16,8,6.65
16,10,6.7
16,12,6.66
16,14,6.57
16,16,6.68
